Site,Date,Depth,chl
99_sik,2020-01-01,5,0.664996325969696
99_sik,2020-01-01,10,0.664331316947937
99_sik,2020-01-01,15,0.6637148857116699
99_sik,2020-01-01,20,0.6629422903060913
99_sik,2020-01-01,30,0.6614702939987183
99_sik,2020-01-01,40,0.6602187752723694
99_sik,2020-01-01,50,0.6592425107955933
99_sik,2020-01-02,5,0.6811424493789673
99_sik,2020-01-02,10,0.6804327368736267
99_sik,2020-01-02,15,0.6798065304756165
99_sik,2020-01-02,20,0.6790497899055481
99_sik,2020-01-02,30,0.677672803401947
99_sik,2020-01-02,40,0.6765735149383545
99_sik,2020-01-02,50,0.6757887601852417
99_sik,2020-01-03,5,0.6951857805252075
99_sik,2020-01-03,10,0.6944675445556641
99_sik,2020-01-03,15,0.6938555240631104
99_sik,2020-01-03,20,0.6931333541870117
99_sik,2020-01-03,30,0.6918531060218811
99_sik,2020-01-03,40,0.6908553242683411
99_sik,2020-01-03,50,0.6901739239692688
99_sik,2020-01-04,5,0.7027096152305603
99_sik,2020-01-04,10,0.7021356821060181
99_sik,2020-01-04,15,0.7016939520835876
99_sik,2020-01-04,20,0.7012094259262085
99_sik,2020-01-04,30,0.7004159092903137
99_sik,2020-01-04,40,0.6997925639152527
99_sik,2020-01-04,50,0.6993435025215149
99_sik,2020-01-05,5,0.7232025265693665
99_sik,2020-01-05,10,0.7225350737571716
99_sik,2020-01-05,15,0.7219675779342651
99_sik,2020-01-05,20,0.7212883830070496
99_sik,2020-01-05,30,0.7200132012367249
99_sik,2020-01-05,40,0.7188478112220764
99_sik,2020-01-05,50,0.7179151177406311
99_sik,2020-01-06,5,0.7519004940986633
99_sik,2020-01-06,10,0.7513543367385864
99_sik,2020-01-06,15,0.7508918642997742
99_sik,2020-01-06,20,0.7503103613853455
99_sik,2020-01-06,30,0.74900221824646
99_sik,2020-01-06,40,0.7469736933708191
99_sik,2020-01-06,50,0.7434115409851074
99_sik,2020-01-07,5,0.7729454040527344
99_sik,2020-01-07,10,0.7731677293777466
99_sik,2020-01-07,15,0.773345410823822
99_sik,2020-01-07,20,0.7736188769340515
99_sik,2020-01-07,30,0.7729123830795288
99_sik,2020-01-07,40,0.7585781812667847
99_sik,2020-01-07,50,0.7204158306121826
99_sik,2020-01-08,5,0.7546061873435974
99_sik,2020-01-08,10,0.7548270225524902
99_sik,2020-01-08,15,0.7550016045570374
99_sik,2020-01-08,20,0.7549799084663391
99_sik,2020-01-08,30,0.7450385093688965
99_sik,2020-01-08,40,0.7013747096061707
99_sik,2020-01-08,50,0.6420543789863586
99_sik,2020-01-09,5,0.7525963187217712
99_sik,2020-01-09,10,0.7517590522766113
99_sik,2020-01-09,15,0.7506139874458313
99_sik,2020-01-09,20,0.740264356136322
99_sik,2020-01-09,30,0.698836088180542
99_sik,2020-01-09,40,0.6510266065597534
99_sik,2020-01-09,50,0.6082803606987
99_sik,2020-01-10,5,0.7981354594230652
99_sik,2020-01-10,10,0.7952214479446411
99_sik,2020-01-10,15,0.7820344567298889
99_sik,2020-01-10,20,0.73423832654953
99_sik,2020-01-10,30,0.6835598349571228
99_sik,2020-01-10,40,0.6448805332183838
99_sik,2020-01-10,50,0.5820332765579224
99_sik,2020-01-11,5,0.8300767540931702
99_sik,2020-01-11,10,0.8257666230201721
99_sik,2020-01-11,15,0.7678321003913879
99_sik,2020-01-11,20,0.726058304309845
99_sik,2020-01-11,30,0.6625354886054993
99_sik,2020-01-11,40,0.6374554634094238
99_sik,2020-01-11,50,0.5804935097694397
99_sik,2020-01-12,5,0.816292941570282
99_sik,2020-01-12,10,0.8110889196395874
99_sik,2020-01-12,15,0.7652547955513
99_sik,2020-01-12,20,0.7211391925811768
99_sik,2020-01-12,30,0.6357640027999878
99_sik,2020-01-12,40,0.626464307308197
99_sik,2020-01-12,50,0.5912868976593018
99_sik,2020-01-13,5,0.7756516337394714
99_sik,2020-01-13,10,0.7724446058273315
99_sik,2020-01-13,15,0.7679063677787781
99_sik,2020-01-13,20,0.7287697196006775
99_sik,2020-01-13,30,0.6372386813163757
99_sik,2020-01-13,40,0.623605489730835
99_sik,2020-01-13,50,0.6026543378829956
99_sik,2020-01-14,5,0.7712846398353577
99_sik,2020-01-14,10,0.7689037322998047
99_sik,2020-01-14,15,0.7662839293479919
99_sik,2020-01-14,20,0.7581225633621216
99_sik,2020-01-14,30,0.6635063886642456
99_sik,2020-01-14,40,0.6343675255775452
99_sik,2020-01-14,50,0.6055554747581482
99_sik,2020-01-15,5,0.7856321930885315
99_sik,2020-01-15,10,0.7835347652435303
99_sik,2020-01-15,15,0.7811532020568848
99_sik,2020-01-15,20,0.7720093131065369
99_sik,2020-01-15,30,0.6782774329185486
99_sik,2020-01-15,40,0.6438524723052979
99_sik,2020-01-15,50,0.6098923683166504
99_sik,2020-01-16,5,0.8027238249778748
99_sik,2020-01-16,10,0.8003759384155273
99_sik,2020-01-16,15,0.797783613204956
99_sik,2020-01-16,20,0.7901623249053955
99_sik,2020-01-16,30,0.6863829493522644
99_sik,2020-01-16,40,0.6395683884620667
99_sik,2020-01-16,50,0.6196874976158142
99_sik,2020-01-17,5,0.8080334663391113
99_sik,2020-01-17,10,0.8060899376869202
99_sik,2020-01-17,15,0.8040766716003418
99_sik,2020-01-17,20,0.8004169464111328
99_sik,2020-01-17,30,0.7206209301948547
99_sik,2020-01-17,40,0.6279504895210266
99_sik,2020-01-17,50,0.6188285946846008
99_sik,2020-01-18,5,0.8247032761573792
99_sik,2020-01-18,10,0.8226428627967834
99_sik,2020-01-18,15,0.8205609321594238
99_sik,2020-01-18,20,0.8154393434524536
99_sik,2020-01-18,30,0.726658284664154
99_sik,2020-01-18,40,0.6297933459281921
99_sik,2020-01-18,50,0.6235978007316589
99_sik,2020-01-19,5,0.8381638526916504
99_sik,2020-01-19,10,0.834499180316925
99_sik,2020-01-19,15,0.8302058577537537
99_sik,2020-01-19,20,0.8092730045318604
99_sik,2020-01-19,30,0.7062047719955444
99_sik,2020-01-19,40,0.6339823603630066
99_sik,2020-01-19,50,0.6159479022026062
99_sik,2020-01-20,5,0.8234105110168457
99_sik,2020-01-20,10,0.8195079565048218
99_sik,2020-01-20,15,0.8140047788619995
99_sik,2020-01-20,20,0.7879762649536133
99_sik,2020-01-20,30,0.6786991953849792
99_sik,2020-01-20,40,0.6243245601654053
99_sik,2020-01-20,50,0.6079856157302856
99_sik,2020-01-21,5,0.7975164651870728
99_sik,2020-01-21,10,0.7956528663635254
99_sik,2020-01-21,15,0.7936237454414368
99_sik,2020-01-21,20,0.7896524667739868
99_sik,2020-01-21,30,0.7039515376091003
99_sik,2020-01-21,40,0.6171493530273438
99_sik,2020-01-21,50,0.6044635772705078
99_sik,2020-01-22,5,0.8050058484077454
99_sik,2020-01-22,10,0.8034676909446716
99_sik,2020-01-22,15,0.8018550276756287
99_sik,2020-01-22,20,0.7990891933441162
99_sik,2020-01-22,30,0.7116317749023438
99_sik,2020-01-22,40,0.604309618473053
99_sik,2020-01-22,50,0.5969985723495483
99_sik,2020-01-23,5,0.8089134097099304
99_sik,2020-01-23,10,0.8069653511047363
99_sik,2020-01-23,15,0.8048681616783142
99_sik,2020-01-23,20,0.8008713126182556
99_sik,2020-01-23,30,0.7265405654907227
99_sik,2020-01-23,40,0.6003106832504272
99_sik,2020-01-23,50,0.5948377847671509
99_sik,2020-01-24,5,0.7833569645881653
99_sik,2020-01-24,10,0.7815206050872803
99_sik,2020-01-24,15,0.7794777154922485
99_sik,2020-01-24,20,0.7762223482131958
99_sik,2020-01-24,30,0.7572985291481018
99_sik,2020-01-24,40,0.6571996808052063
99_sik,2020-01-24,50,0.6358978152275085
99_sik,2020-01-25,5,0.7191309332847595
99_sik,2020-01-25,10,0.7178382873535156
99_sik,2020-01-25,15,0.7164917588233948
99_sik,2020-01-25,20,0.7145005464553833
99_sik,2020-01-25,30,0.7087923288345337
